requested URL,status,final URL,redirect hops,canonical,robots,title,meta description,H1,main body,sitemap inclusion
"https://www.entirefm.com/","200","https://www.entirefm.com/","0","https://www.entirefm.com","index, follow","Entire FM | Total Facilities Management Services UK","Entire FM provides integrated Hard FM, Soft FM, mechanical &amp; electrical engineering, PPM, and specialist facilities management across London and the UK.","Facilities management,without the friction.","YES","sitemaps/core.xml"
"https://www.entirefm.com/24-7-fm-support","200","https://www.entirefm.com/24-7-fm-support","0","https://www.entirefm.com/24-7-fm-support","noindex, follow","24 7 Fm Support | Facilities Management &amp; Engineering | Entire FM","Specialist commercial 24 7 fm support across the UK. Proactive maintenance, building engineering, statutory compliance, and dedicated client management.","24 7 Fm Support — Facilities Management &amp; Engineering","YES","sitemaps/core.xml"
"https://www.entirefm.com/about-entire-facilities-management","200","https://www.entirefm.com/about-entire-facilities-management","0","https://www.entirefm.com/about-entire-facilities-management","index, follow","About EntireFM | Independent Facilities Management Since 2009","EntireFM is an independently owned facilities management provider. Started in 2009 as a small building maintenance company; now maintaining commercial property nationwide.","Independently owned. Building maintenance since 2009.","YES","sitemaps/company.xml"
"https://www.entirefm.com/access-control","200","https://www.entirefm.com/access-control","0","https://www.entirefm.com/access-control","index, follow","Access Control Systems | Installation &amp; Maintenance | EntireFM","Commercial access control installation, maintenance and fault response — door entry, fobs, readers, barriers and integration with fire and intruder systems.","Commercial Access Control Systems","YES","sitemaps/hard-fm.xml"
"https://www.entirefm.com/accessibility-statement","200","https://www.entirefm.com/accessibility-statement","0","https://www.entirefm.com/accessibility-statement","noindex, follow","Accessibility Statement | Entire FM","Official accessibility statement documentation and legal governance for Entire Facilities Management Ltd.","Accessibility Statement","YES","sitemaps/core.xml"
"https://www.entirefm.com/account-registration","200","https://www.entirefm.com/account-registration","0","https://www.entirefm.com/account-registration","noindex, follow","Client Account Registration | EntireFM","Register for an EntireFM client account to log jobs, track progress, access compliance certificates and view planned maintenance schedules for your sites.","Client Account Registration","YES","sitemaps/company.xml"
"https://www.entirefm.com/aerial-drone-building-inspection","200","https://www.entirefm.com/aerial-drone-building-inspection","0","https://www.entirefm.com/aerial-drone-building-inspection","index, follow","Aerial Drone Building Inspections | High-Level Surveys | Entire FM","Commercial drone building inspections and roof surveys across the UK. High-resolution imaging, thermal anomaly detection, and safe high-reach assessments.","Aerial Drone Building Inspections &amp; Roof Surveys","YES","sitemaps/hard-fm.xml"
"https://www.entirefm.com/airport-facilities-management","200","https://www.entirefm.com/airport-facilities-management","0","https://www.entirefm.com/airport-facilities-management","index, follow","Airport Facilities Management | Terminal &amp; Airside Engineering | Entire FM","Specialist facilities management for airports, train stations, and transport hubs. Security-vetted engineering, passenger flow cleaning, and critical power.","Airport &amp; Aviation Terminal Facilities Management","YES","sitemaps/sectors.xml"
"https://www.entirefm.com/arena-facilities-management","200","https://www.entirefm.com/arena-facilities-management","0","https://www.entirefm.com/arena-facilities-management","index, follow","Arena Facilities Management | Entertainment Complex FM | Entire FM","Total facilities management for sports stadiums, concert arenas, and leisure complexes. High-capacity cleaning, crowd safety systems, turnstiles, and pitch lighting.","Arena &amp; Large Entertainment Complex Facilities Management","YES","sitemaps/sectors.xml"
"https://www.entirefm.com/arena-facilities-management-1","200","https://www.entirefm.com/arena-facilities-management-1","0","https://www.entirefm.com/arena-facilities-management-1","index, follow","Arena &amp; Venue Facilities Management | EntireFM","Facilities management for arenas and live venues — event-day readiness, overnight turnarounds, crowd-load plant, and maintenance that fits an immovable calendar.","Arena and Live Venue Facilities Management","YES","sitemaps/sectors.xml"
