URL,HTTP,Indexable,Canonical,Sitemap,Inlinks,Schema,Status
https://www.entirefm.com/,200,true,https://www.entirefm.com,sitemaps/core.xml,326,Valid JSON-LD,PASS
https://www.entirefm.com/services,200,true,https://www.entirefm.com/services,sitemaps/core.xml,240,Valid JSON-LD,PASS
https://www.entirefm.com/sectors,200,true,https://www.entirefm.com/sectors,sitemaps/core.xml,210,Valid JSON-LD,PASS
https://www.entirefm.com/locations,200,true,https://www.entirefm.com/locations,sitemaps/core.xml,260,Valid JSON-LD,PASS
https://www.entirefm.com/ppm,200,true,https://www.entirefm.com/ppm,sitemaps/core.xml,180,Valid JSON-LD,PASS
https://www.entirefm.com/mechanical-electrical,200,true,https://www.entirefm.com/mechanical-electrical,sitemaps/core.xml,165,Valid JSON-LD,PASS
https://www.entirefm.com/hvac-contractor,200,true,https://www.entirefm.com/hvac-contractor,sitemaps/core.xml,150,Valid JSON-LD,PASS
https://www.entirefm.com/industrial-cleaning,200,true,https://www.entirefm.com/industrial-cleaning,sitemaps/core.xml,140,Valid JSON-LD,PASS
https://www.entirefm.com/commercial-cleaning,200,true,https://www.entirefm.com/commercial-cleaning,sitemaps/core.xml,135,Valid JSON-LD,PASS
https://www.entirefm.com/facilities-management-london,200,true,https://www.entirefm.com/facilities-management-london,sitemaps/locations.xml,95,Valid JSON-LD,PASS
https://www.entirefm.com/fm-london,200,true,https://www.entirefm.com/fm-london,sitemaps/locations.xml,85,Valid JSON-LD,PASS
https://www.entirefm.com/london-facilities-management,200,true,https://www.entirefm.com/london-facilities-management,sitemaps/locations.xml,80,Valid JSON-LD,PASS
https://www.entirefm.com/facilities-management-manchester,200,true,https://www.entirefm.com/facilities-management-manchester,sitemaps/locations.xml,90,Valid JSON-LD,PASS
https://www.entirefm.com/fm-manchester,200,true,https://www.entirefm.com/fm-manchester,sitemaps/locations.xml,82,Valid JSON-LD,PASS
https://www.entirefm.com/manchester-facilities-management,200,true,https://www.entirefm.com/manchester-facilities-management,sitemaps/locations.xml,78,Valid JSON-LD,PASS
https://www.entirefm.com/facilities-management-birmingham,200,true,https://www.entirefm.com/facilities-management-birmingham,sitemaps/locations.xml,88,Valid JSON-LD,PASS
https://www.entirefm.com/fm-birmingham,200,true,https://www.entirefm.com/fm-birmingham,sitemaps/locations.xml,81,Valid JSON-LD,PASS
https://www.entirefm.com/birmingham-facilities-management,200,true,https://www.entirefm.com/birmingham-facilities-management,sitemaps/locations.xml,83,Valid JSON-LD,PASS
https://www.entirefm.com/facilities-management-leeds,200,true,https://www.entirefm.com/facilities-management-leeds,sitemaps/locations.xml,84,Valid JSON-LD,PASS
https://www.entirefm.com/fm-leeds,200,true,https://www.entirefm.com/fm-leeds,sitemaps/locations.xml,79,Valid JSON-LD,PASS
https://www.entirefm.com/industrial-facilities-management,200,true,https://www.entirefm.com/industrial-facilities-management,sitemaps/sectors.xml,110,Valid JSON-LD,PASS
https://www.entirefm.com/commercial-facilities-management,200,true,https://www.entirefm.com/commercial-facilities-management,sitemaps/sectors.xml,115,Valid JSON-LD,PASS
https://www.entirefm.com/logistics-facilities-management,200,true,https://www.entirefm.com/logistics-facilities-management,sitemaps/sectors.xml,105,Valid JSON-LD,PASS
https://www.entirefm.com/retail-facilities-management,200,true,https://www.entirefm.com/retail-facilities-management,sitemaps/sectors.xml,108,Valid JSON-LD,PASS
https://www.entirefm.com/resources/guides/ppm-guide,200,true,https://www.entirefm.com/resources/guides/ppm-guide,sitemaps/insights.xml,145,Valid JSON-LD,PASS
https://www.entirefm.com/resources/guides/fm-tender-guide,200,true,https://www.entirefm.com/resources/guides/fm-tender-guide,sitemaps/insights.xml,155,Valid JSON-LD,PASS
https://www.entirefm.com/tools/tender-brief,200,true,https://www.entirefm.com/tools/tender-brief,sitemaps/insights.xml,120,Valid JSON-LD,PASS
https://www.entirefm.com/compliance,200,true,https://www.entirefm.com/compliance,sitemaps/insights.xml,160,Valid JSON-LD,PASS
https://www.entirefm.com/case-studies,200,true,https://www.entirefm.com/case-studies,sitemaps/insights.xml,195,Valid JSON-LD,PASS
