path,url,sources,httpStatus,verifiedByHttp
"/","https://www.entirefm.com/","XML_SITEMAP;HTML_SITEMAP;HOMEPAGE;HUB_NAVIGATION",200,TRUE
"/about","https://www.entirefm.com/about","XML_SITEMAP;HTML_SITEMAP;HOMEPAGE;HUB_NAVIGATION",200,TRUE
"/academy","https://www.entirefm.com/academy","XML_SITEMAP;HTML_SITEMAP;HOMEPAGE;HUB_NAVIGATION",200,TRUE
"/academy/drone-inspection-guide","https://www.entirefm.com/academy/drone-inspection-guide","XML_SITEMAP",200,TRUE
"/academy/fire-safety-compliance","https://www.entirefm.com/academy/fire-safety-compliance","XML_SITEMAP",200,TRUE
"/academy/legionella-water-safety","https://www.entirefm.com/academy/legionella-water-safety","XML_SITEMAP",200,TRUE
"/academy/multi-site-fm-management","https://www.entirefm.com/academy/multi-site-fm-management","XML_SITEMAP",200,TRUE
"/academy/understanding-ppm","https://www.entirefm.com/academy/understanding-ppm","XML_SITEMAP",200,TRUE
"/aerial-drone-building-inspection","https://www.entirefm.com/aerial-drone-building-inspection","XML_SITEMAP",200,TRUE
"/airport-facilities-management","https://www.entirefm.com/airport-facilities-management","XML_SITEMAP",200,TRUE
"/arena-facilities-management","https://www.entirefm.com/arena-facilities-management","XML_SITEMAP",200,TRUE
"/awards","https://www.entirefm.com/awards","XML_SITEMAP;HTML_SITEMAP",200,TRUE
"/blog","https://www.entirefm.com/blog","XML_SITEMAP",200,TRUE
"/building-walk","https://www.entirefm.com/building-walk","XML_SITEMAP;HTML_SITEMAP;HOMEPAGE;HUB_NAVIGATION",200,TRUE
"/building-walk/hotel-fm-guest-experience","https://www.entirefm.com/building-walk/hotel-fm-guest-experience","XML_SITEMAP",200,TRUE
"/building-walk/industrial-cleaning-before-after","https://www.entirefm.com/building-walk/industrial-cleaning-before-after","XML_SITEMAP",200,TRUE
"/building-walk/office-building-fm-walkthrough","https://www.entirefm.com/building-walk/office-building-fm-walkthrough","XML_SITEMAP",200,TRUE
"/building-walk/residential-block-fm-issues","https://www.entirefm.com/building-walk/residential-block-fm-issues","XML_SITEMAP",200,TRUE
"/building-walk/retail-unit-compliance-walkthrough","https://www.entirefm.com/building-walk/retail-unit-compliance-walkthrough","XML_SITEMAP",200,TRUE
"/careers","https://www.entirefm.com/careers","XML_SITEMAP;HTML_SITEMAP",200,TRUE
"/case-studies","https://www.entirefm.com/case-studies","XML_SITEMAP;HTML_SITEMAP;HOMEPAGE;HUB_NAVIGATION",200,TRUE
"/case-studies/aviation","https://www.entirefm.com/case-studies/aviation","HTML_SITEMAP",200,TRUE
"/case-studies/corporate","https://www.entirefm.com/case-studies/corporate","HTML_SITEMAP",200,TRUE
"/case-studies/corporate-office-campus-fm","https://www.entirefm.com/case-studies/corporate-office-campus-fm","XML_SITEMAP;HUB_NAVIGATION",200,TRUE
"/case-studies/corporate-office-london","https://www.entirefm.com/case-studies/corporate-office-london","HTML_SITEMAP",200,TRUE
"/case-studies/engineering","https://www.entirefm.com/case-studies/engineering","HTML_SITEMAP",200,TRUE
"/case-studies/healthcare","https://www.entirefm.com/case-studies/healthcare","HTML_SITEMAP",200,TRUE
"/case-studies/hospitality","https://www.entirefm.com/case-studies/hospitality","HTML_SITEMAP",200,TRUE
"/case-studies/hotel-fm-transformation","https://www.entirefm.com/case-studies/hotel-fm-transformation","XML_SITEMAP;HUB_NAVIGATION",200,TRUE
"/case-studies/industrial-cleaning-restoration","https://www.entirefm.com/case-studies/industrial-cleaning-restoration","XML_SITEMAP;HUB_NAVIGATION",200,TRUE
"/case-studies/industrial-warehouse-sheffield","https://www.entirefm.com/case-studies/industrial-warehouse-sheffield","HTML_SITEMAP",404,TRUE
"/case-studies/logistics","https://www.entirefm.com/case-studies/logistics","HTML_SITEMAP",200,TRUE
"/case-studies/motorway-services-fm-contract","https://www.entirefm.com/case-studies/motorway-services-fm-contract","XML_SITEMAP;HUB_NAVIGATION",200,TRUE
"/case-studies/pbsa","https://www.entirefm.com/case-studies/pbsa","HTML_SITEMAP",404,TRUE
"/case-studies/pbsa-estate-manchester","https://www.entirefm.com/case-studies/pbsa-estate-manchester","HTML_SITEMAP",404,TRUE
"/case-studies/residential-estate-management","https://www.entirefm.com/case-studies/residential-estate-management","XML_SITEMAP;HUB_NAVIGATION",200,TRUE
"/case-studies/retail","https://www.entirefm.com/case-studies/retail","HTML_SITEMAP",404,TRUE
"/case-studies/retail-complex-birmingham","https://www.entirefm.com/case-studies/retail-complex-birmingham","HTML_SITEMAP",404,TRUE
"/case-studies/retail-estate-ppm-rollout","https://www.entirefm.com/case-studies/retail-estate-ppm-rollout","XML_SITEMAP;HUB_NAVIGATION",200,TRUE
"/case-studies/service-stations","https://www.entirefm.com/case-studies/service-stations","HTML_SITEMAP",200,TRUE
