Current URL,HTTP Status,Title,Canonical,Indexability,Internal Links,Traffic Value if Known,New Equivalent,Final Behaviour,Redirect Target,Reason,Priority
"https://entirefm.com","200","Entire FM | Total Facilities Management Services UK","https://entirefm.com","INDEXABLE","Connected via Hub Architecture","HIGH COMMERCIAL","/","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P0"
"https://entirefm.com/24-7-fm-support","200","24 7 Fm Support | Entire FM","https://entirefm.com/24-7-fm-support","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/24-7-fm-support","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/about-entire-facilities-management","200","About Entire Facilities Management | Entire FM","https://entirefm.com/about-entire-facilities-management","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/about-entire-facilities-management","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/accessibility-statement","200","Accessibility Statement | Entire FM","https://entirefm.com/accessibility-statement","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/accessibility-statement","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/aerial-drone-building-inspection","200","Aerial Drone Building Inspection | Entire FM","https://entirefm.com/aerial-drone-building-inspection","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/aerial-drone-building-inspection","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/airport-facilities-management","200","Airport Facilities Management Solutions | Entire FM","https://entirefm.com/airport-facilities-management","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/airport-facilities-management","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/arena-facilities-management","200","Arena Facilities Management Solutions | Entire FM","https://entirefm.com/arena-facilities-management","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/arena-facilities-management","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/best-facilities-management-company","200","Best Facilities Management Company | Entire FM","https://entirefm.com/best-facilities-management-company","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/best-facilities-management-company","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/birmingham-facilities-management","200","Birmingham Facilities Management | Commercial Property Maintenance | Entire FM","https://entirefm.com/birmingham-facilities-management","INDEXABLE","Connected via Hub Architecture","HIGH COMMERCIAL","/birmingham-facilities-management","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P0"
"https://entirefm.com/blog","200","Blog | Facilities Management Insights | Entire FM","https://entirefm.com/blog","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/blog","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P2"
"https://entirefm.com/bocker-crane-hire","200","Bocker Crane Hire | Entire FM","https://entirefm.com/bocker-crane-hire","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/bocker-crane-hire","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/bolton-facilities-management","200","Bolton Facilities Management | Commercial Property Maintenance | Entire FM","https://entirefm.com/bolton-facilities-management","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/bolton-facilities-management","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P2"
"https://entirefm.com/bradford-facilities-management","200","Bradford Facilities Management | Commercial Property Maintenance | Entire FM","https://entirefm.com/bradford-facilities-management","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/bradford-facilities-management","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/building-inspecting-testing","200","Building Inspecting Testing | Entire FM","https://entirefm.com/building-inspecting-testing","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/building-inspecting-testing","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/building-maintenance","200","Building Maintenance | Entire FM","https://entirefm.com/building-maintenance","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/building-maintenance","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/bury-facilities-management","200","Bury Facilities Management | Commercial Property Maintenance | Entire FM","https://entirefm.com/bury-facilities-management","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/bury-facilities-management","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P2"
"https://entirefm.com/caretaker","200","Caretaker | Entire FM","https://entirefm.com/caretaker","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/caretaker","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/carpark-management","200","Carpark Management | Entire FM","https://entirefm.com/carpark-management","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/carpark-management","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/chesterfield-facilities-management","200","Chesterfield Facilities Management | Commercial Property Maintenance | Entire FM","https://entirefm.com/chesterfield-facilities-management","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/chesterfield-facilities-management","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
"https://entirefm.com/cleaning-services","200","Cleaning Services | Entire FM","https://entirefm.com/cleaning-services","INDEXABLE","Connected via Hub Architecture","HIGH COMMERCIAL","/cleaning-services","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P0"
"https://entirefm.com/client-login","200","Client Login | Entire FM","https://entirefm.com/client-login","INDEXABLE","Connected via Hub Architecture","COMMERCIAL","/client-login","KEEP_200","NONE (Direct 200 Serve)","Protected Historic / Core Route","P1"
